"FID_","ID","X","Y","NAME","STATE","CSVRID","CYCAVAIL","CYCBACK","TIME_","ADDR","CALL","SERVICE","TYPE"
,"e8c26f16-f149-4078-bd00-cbd5a7c365bb",82519.105200,85494.781900,"三里亭苑","无人值守",3061.000000,11.000000,11.000000,"租车06:00~21:00，还车06:00~22:00","三里亭苑1区23幢2单元，顾家畈路2号旁",13606516800.0000," "," "
,"22b25e08-0294-4a19-8266-58475eb6433e",88830.165600,86975.755300,"九环路九和路口","无人值守",3063.000000,17.000000,5.000000,"租车06:00~21:00，还车06:00~22:00","九环路九和路口，公交车站旁",13454490900.0000," "," "
,"2db968fc-77ea-4328-96ce-94bcf1d77457",89517.175800,87732.463900,"德胜路航海路口南","无人值守",3064.000000,4.000000,17.000000,"租车06:00~21:00，还车06:00~22:00","德胜路航海路口蚕桑村站南",13454490900.0000," "," "
,"e63c6456-2ffc-4d61-98ea-85d91fd30b29",88847.352400,87525.658900,"德胜路九环路口","无人值守",3065.000000,7.000000,17.000000,"租车06:00~21:00，还车06:00~22:00","德胜路九环路口",13454490900.0000," "," "
,"343f0847-34ec-4bab-b71d-a6a8041b2835",89904.125400,87846.903400,"德胜路航海路口北","无人值守",3066.000000,3.000000,31.000000,"租车06:00~21:00，还车06:00~22:00","德胜路航海路口北",13454490900.0000," "," "
,"501f9480-ce38-4ab1-a47b-1737dd3f1186",88098.958700,87057.693600,"红五月路口","无人值守",3068.000000,13.000000,8.000000,"租车06:00~21:00，还车06:00~22:00","德胜路红五月路口，厕所门口",15868129400.0000," "," "
,"1d8aa892-6cdd-4d73-9f0e-f70a679c9f51",87251.476000,91660.110100,"丁桥加油站","无人值守",3069.000000,12.000000,9.000000,"租车06:00~21:00，还车06:00~22:00","环丁路，加油站对面。",13606519200.0000," "," "
,"fd2e6326-dfdd-4d23-ad07-2a4edd4e69f2",87492.753100,92515.244000,"辰秀嘉园","无人值守",3074.000000,8.000000,13.000000,"租车06:00~21:00，还车06:00~22:00","明珠街辰秀嘉园",13606519200.0000," "," "
,"a09d5738-4a38-4ccf-b057-4aac4e9826e7",90793.060900,88208.198700,"九堡四季青服装市场东","无人值守",3075.000000,14.000000,10.000000,"租车06:00~21:00，还车06:00~22:00","九堡四季青服装市场南69，100路下客站，女装街",13454490900.0000," "," "
,"2bbfcdbe-5a37-4010-889a-0b7b5c969c4c",90838.446800,88058.009400,"九堡四季青服装市场南","无人值守",3076.000000,13.000000,8.000000,"租车06:00~21:00，还车06:00~22:00","九堡四季青服装市场南",13454490900.0000," "," "
,"9da82f3d-db8a-431e-b09a-b9b93480d2ac",91130.174100,87675.325800,"九堡公交中心站","无人值守",3077.000000,22.000000,14.000000,"租车06:00~21:00，还车06:00~22:00","九堡公交中心站出口左侧",13454490900.0000," "," "
,"1935e5fc-e401-4381-8e48-9e7c0c22323b",83043.985100,86801.551700,"弄口五组","无人值守",3079.000000,19.000000,2.000000,"租车06:00~21:00，还车06:00~22:00","德胜东路弄口五组车站旁",13606516800.0000," "," "
,"20b045f0-b8c9-4fa0-a8c6-af6c929dcb85",84266.518600,79862.852200,"解放路口富春路东","无人值守",3233.000000,2.000000,14.000000,"租车06:00~21:00，还车06:00~22:00","富春路解放路口富春路东",.000000," "," "
,"4a8b15e9-ffae-44f2-8fab-72ce794f96b1",84717.158000,80459.012900,"新业路口富春路东","无人值守",3235.000000,4.000000,17.000000,"租车06:00~21:00，还车06:00~22:00","富春路新业路口富春路东",.000000," "," "
,"7a3285f8-9318-481b-959b-705d002b044d",85422.944600,81392.005100,"钱潮路口富春路东","无人值守",3237.000000,4.000000,17.000000,"租车06:00~21:00，还车06:00~22:00","富春路钱潮路口富春路东",.000000," "," "
,"54fcbf45-8d8c-4f07-800e-abb8214a8ad5",84221.715900,80636.331600,"市民中心","无人值守",3238.000000,12.000000,9.000000,"租车06:00~21:00，还车06:00~22:00","钱江路西K325市民中心西大门站",.000000," "," "
,"fcf40abb-aaac-4716-a691-77d85f149e5d",83862.532500,80342.221600,"解放东路钱江路口","无人值守",3239.000000,1.000000,20.000000,"租车06:00~21:00，还车06:00~22:00","解放东路钱江路口公交B支6路下车路口东",.000000," "," "
,"f0abcc40-6e29-4803-8be4-7c7ac164bee5",84820.752900,81410.041300,"钱江路庆春路口","无人值守",3242.000000,11.000000,10.000000,"租车06:00~21:00，还车06:00~22:00","钱江路庆春路口，钱江路东",.000000," "," "
,"0914bfb6-f56a-4d8f-8ba2-f09e914f91f4",84329.772200,79486.662900,"城星路森林路口","无人值守",3243.000000,3.000000,18.000000,"租车06:00~21:00，还车06:00~22:00","城星路森林路口",.000000," "," "
,"aa63df6b-dc5a-4a8a-a8d1-219bd57b2f58",84472.197300,79471.326300,"五星路香樟路口","无人值守",3244.000000,1.000000,20.000000,"租车06:00~21:00，还车06:00~22:00","五星路香樟路口（五星路西侧）",.000000," "," "
,"8b4aa035-c757-445b-adbd-a85219d6e9b3",82367.087300,83594.087900,"艮山西路东方豪生","无人值守",3246.000000,1.000000,20.000000,"租车06:00~21:00，还车06:00~22:00","艮山西路288号，东方豪生门口",.000000," "," "
,"15aca808-a26a-46f3-8003-a667f43910d9",82402.047200,83549.746700,"艮山西路银河证券","无人值守",3247.000000,19.000000,2.000000,"租车06:00~21:00，还车06:00~22:00","艮山西路107号（东方豪生对面）",.000000," "," "
,"0540ad5f-fb95-47b8-a4b2-c6e57d437fc8",82499.649200,83890.518600,"机场路城东桥","无人值守",3248.000000,2.000000,19.000000,"租车06:00~21:00，还车06:00~22:00","机场路城东桥西南侧",.000000," "," "
